variable,age_bin,group,n,min,max,sd,mean,se,Q25,Q50,Q75
sfc,11-20,Ocean 2019,10,0.272202152973562,8.95844163365895,2.8256673598138904,3.4227434779281927,0.893554476700643,1.0241840881981112,3.288769085450415,4.436255470808603
sfc,0-10,Ocean 2019,15,0.00182252426158746,9.82240813774646,2.5513113047579483,2.774292420206636,0.6587457462878833,0.9887263594755787,2.78939555462195,3.710319349672835
sfc,>30,Ocean 2021-2022,2,0.087,0.581887160533945,0.349938067135708,0.33444358026697246,0.24744358026697244,0.21072179013348624,0.33444358026697246,0.45816537040045874
sfc,21-30,Ocean 2021-2022,14,0.00182252426158746,0.62048711032092,0.2031881831097765,0.18755259899951535,0.054304326159847954,0.037750000000000006,0.11249999999999999,0.2425
sfc,11-20,Ocean 2021-2022,40,0.00182252426158746,1.78236392645242,0.3344213287115597,0.2581779224813081,0.05287665484341957,0.0235,0.205910624211321,0.33825000000000005
sfc,0-10,Ocean 2021-2022,51,0.00182252426158746,1.52179454351863,0.319051544382292,0.22564384591016215,0.04467615233769021,0.0105274252985865,0.0684188961492387,0.3323774951826115
sfc,>30,SECA 2021-2023,3,0.0266,0.07665,0.027688911739780116,0.04478333333333333,0.01598620064652984,0.02885,0.0311,0.053875
sfc,21-30,SECA 2021-2023,4,0.00182252426158746,0.0756168017872933,0.032159451160410045,0.030409831512220188,0.016079725580205022,0.011630631065396866,0.0221,0.040879200446823326
sfc,11-20,SECA 2021-2023,20,0.001,0.474519541600006,0.10662806893326426,0.044589886804779925,0.023842761044431237,0.00182252426158746,0.0026599899790902,0.0324
sfc,0-10,SECA 2021-2023,23,0.00182252426158746,0.234678608092658,0.07310144127167557,0.04097841700445047,0.015242704193491096,0.00182252426158746,0.0036,0.04076031478549055
nox_co2,>30,Open Ocean,0,Inf,-Inf,NA,NA,NA,NA,NA,NA
nox_co2,21-30,Open Ocean,0,Inf,-Inf,NA,NA,NA,NA,NA,NA
nox_co2,11-20,Open Ocean,6,0.0189,0.0298,0.004164332679633877,0.024883333333333334,0.0017000816973833282,0.022275000000000003,0.02515,0.028025
nox_co2,0-10,Open Ocean,11,0.0086,0.0412,0.009128505235156677,0.018722878787878792,0.002752347887437244,0.0117,0.01905,0.0218875
nox_co2,>30,Port of Tyne,3,0.0048,0.0134,0.004517742799230607,0.009899999999999999,0.0026083200212652846,0.00815,0.0115,0.01245
nox_co2,21-30,Port of Tyne,2,0.0052,0.0211,0.011242997820866105,0.01315,0.007949999999999999,0.009174999999999999,0.01315,0.017124999999999998
nox_co2,11-20,Port of Tyne,6,2e-4,0.0105,0.00450657482648038,0.006088333333333334,0.0018398014687580953,0.0023,0.007464999999999999,0.009607500000000001
nox_co2,0-10,Port of Tyne,6,0.0039,0.0213,0.006242328625334192,0.010066666666666666,0.00254841998980632,0.00625,0.0085,0.01165
nox_co2,>30,Port of Valencia,1,0.0173,0.0173,NA,0.0173,NA,0.0173,0.0173,0.0173
nox_co2,21-30,Port of Valencia,10,0.00792,0.0148,0.0023514971590220747,0.010805,7.436086933924917e-4,0.0090025,0.01065,0.012674999999999999
nox_co2,11-20,Port of Valencia,14,0.00546,0.0168,0.003213358193404663,0.011483571428571428,8.588061014787946e-4,0.009425000000000001,0.01154,0.01405
nox_co2,0-10,Port of Valencia,10,0.0064,0.01864,0.003563241501778963,0.011307,0.001126795899886044,0.0094125,0.010375,0.01316
