variable,tonnage_bin,group,n,min,max,sd,mean,se,Q25,Q50,Q75
sfc,"100,001-200,000",Ocean 2019,6,2.2006521488436,4.9889952315599,1.1658623008508746,3.4822413107897967,0.47596129123863556,2.4212759966445927,3.6040391303524797,4.252535236254387
sfc,"50,001-100,000",Ocean 2019,8,0.272202152973562,9.82240813774646,3.708287034521773,4.494756535167589,1.311077454348249,1.7206726212252699,3.7436613991205,7.350119841326243
sfc,"10,000-50,000",Ocean 2019,10,0.00182252426158746,3.65124015237726,1.5670024187272895,1.8988498412040387,0.49552967421711236,0.16446885995407434,2.40862293437747,3.2839818189615824
sfc,<10000,Ocean 2019,1,0.00182252426158746,0.00182252426158746,NA,0.00182252426158746,NA,0.00182252426158746,0.00182252426158746,0.00182252426158746
sfc,">200,000",Ocean 2021-2022,4,0.00182252426158746,0.04,0.018108981591032962,0.013543118455440355,0.009054490795516481,0.00182252426158746,0.00617497478008698,0.017895568973939874
sfc,"100,001-200,000",Ocean 2021-2022,26,0.00182252426158746,0.761963789311139,0.24900500534586623,0.20514188348473872,0.048833899278494144,0.0105274252985865,0.0567892781748444,0.2655962745645775
sfc,"50,001-100,000",Ocean 2021-2022,27,0.00182252426158746,1.78236392645242,0.45059091750495534,0.3782024357660632,0.08671626250529547,0.04870944807461935,0.27930359745938,0.5431618147057624
sfc,"10,000-50,000",Ocean 2021-2022,39,0.00182252426158746,0.99554614458031,0.23692341269923883,0.23452723290821487,0.03793810866872985,0.054000000000000006,0.179,0.3415
sfc,<10000,Ocean 2021-2022,11,0.01,0.102,0.03354750786493852,0.03488066306079065,0.010114954203590714,0.015,0.019,0.03825
sfc,">200,000",SECA 2021-2023,1,0.0159635356461056,0.0159635356461056,NA,0.0159635356461056,NA,0.0159635356461056,0.0159635356461056,0.0159635356461056
sfc,"100,001-200,000",SECA 2021-2023,7,0.00182252426158746,0.234678608092658,0.09515210034182284,0.07473169731038189,0.03596411346141817,0.00182252426158746,0.0458206295709811,0.11857753536213585
sfc,"50,001-100,000",SECA 2021-2023,9,0.00182252426158746,0.0885373410945005,0.03745205359082967,0.028452863824648397,0.01248401786360989,0.00182252426158746,0.00182252426158746,0.0688390102321045
sfc,"10,000-50,000",SECA 2021-2023,20,0.001,0.474519541600006,0.10553510432052392,0.03732309446107317,0.023598366727322323,0.00182252426158746,0.00182252426158746,0.027723751838580626
sfc,<10000,SECA 2021-2023,13,0.00182252426158746,0.2339,0.06551889122597979,0.042205197906520185,0.018171670909755216,0.0066,0.024,0.0357
nox_co2,">200,000",Open Ocean,0,Inf,-Inf,NA,NA,NA,NA,NA,NA
nox_co2,"100,001-200,000",Open Ocean,7,0.0086,0.0237666666666667,0.005536097846414877,0.017453809523809528,0.0020924483050477165,0.01405,0.01905,0.021330000000000002
nox_co2,"50,001-100,000",Open Ocean,4,0.0111,0.0298,0.007934103604062654,0.02095,0.003967051802031327,0.01695,0.02145,0.02545
nox_co2,"10,000-50,000",Open Ocean,6,0.0104,0.0412,0.01016324771747037,0.024879166666666667,0.004149128506218036,0.02123125,0.024,0.028025
nox_co2,<10000,Open Ocean,0,Inf,-Inf,NA,NA,NA,NA,NA,NA
nox_co2,"50,001-100,000",Port of Tyne,1,0.00873,0.00873,NA,0.00873,NA,0.00873,0.00873,0.00873
nox_co2,"10,000-50,000",Port of Tyne,6,0.001,0.0134,0.004452153037201963,0.007416666666666667,0.001817583866321197,0.005025,0.0074,0.01015
nox_co2,<10000,Port of Tyne,10,2e-4,0.0213,0.006948549009205687,0.00997,0.002197324130239627,0.00545,0.008900000000000002,0.01225
nox_co2,">200,000",Port of Valencia,1,0.00876,0.00876,NA,0.00876,NA,0.00876,0.00876,0.00876
nox_co2,"100,001-200,000",Port of Valencia,3,0.0107,0.01499,0.002242862754011786,0.013223333333333333,0.0012949174147840901,0.01234,0.01398,0.014485
nox_co2,"50,001-100,000",Port of Valencia,2,0.00792,0.01025,0.001647558800164656,0.009085,0.0011650000000000002,0.0085025,0.009085,0.009667499999999999
nox_co2,"10,000-50,000",Port of Valencia,19,0.00894,0.0173,0.0023956368721890662,0.012192631578947368,5.495967911206317e-4,0.01025,0.01229,0.0137
nox_co2,<10000,Port of Valencia,10,0.00546,0.01864,0.004269327425563266,0.010093,0.0013500798741802895,0.007955,0.009295000000000001,0.009575
