campaign,flight_no,date
ACRUISE-1,C178,2019-07-10
ACRUISE-1,C179,2019-07-11
ACRUISE-1,C180,2019-07-11
ACRUISE-1,C181,2019-07-12
ACRUISE-1,C182,2019-07-12
ACRUISE-1,C183,2019-07-13
ACRUISE-1,C184,2019-07-15
ACRUISE-1,C185,2019-07-15
ACRUISE-1,C186,2019-07-16
ACRUISE-1,C187,2019-07-16
ACRUISE-1,C188,2019-07-17
ACRUISE-1,C189,2019-07-17
ACRUISE-1,C190,2019-07-18
ACRUISE-2,C251,2019-09-24
ACRUISE-2,C253,2021-09-27
ACRUISE-2,C254,2021-09-28
ACRUISE-2,C255,2021-09-29
ACRUISE-2,C256,2021-10-01
ACRUISE-2,C257,2021-10-03
ACRUISE-2,C258,2021-10-04
ACRUISE-2,C259,2021-10-05
ACRUISE-2,C260,2021-10-06
ACRUISE-2,C261,2021-10-07
ACRUISE-2,C262,2021-10-08
ACRUISE-2,C263,2021-10-09
ACRUISE-2,C264,2021-10-11
ACRUISE-2,C265,2021-10-12
ACRUISE-3,C284,2022-04-29
ACRUISE-3,C285,2022-04-30
ACRUISE-3,C286,2022-05-01
ACRUISE-3,C287,2022-05-02
ACSIS,C292,2022-05-07
